spec ID, x, y
3517,-5.1989878320149465,-4.344574133770982
3483,-5.749169491789152,-4.850827412774286
3589,-8.766550435584916,-3.0344312919276475
3590,-8.432996207894265,-3.295792386476127
3409,-6.626417806864213,-1.115630103915112
3662,-8.688599324171662,-3.561455379743139
3478,-6.453448426361991,-5.126615702733363
3729,-9.711053980440791,0.752953960530691
3733,-4.225127945353899,1.4134410055082194
3333,-8.102184235000768,-2.232712156439015
3725,-7.751973349063816,-5.821768901999942
3741,-9.43926175025185,-2.8554346838006954
3749,-7.791520832249987,-7.5418886752556435
3752,-7.987479987225596,-6.315187663200048
3781,-9.034186611894652,-2.866712544459418
3786,-6.60962236877466,-5.077250616736997
3771,-6.540472029478279,-5.1565372711526045
3817,1.942164400109879,-10.721173972527632
3818,-4.143238423200494,-2.414763375691849
3820,-4.646886078918726,-8.107764242402446
3841,-7.384746192786094,-2.1405454349507798
3826,-7.447285789715134,-2.085918467924061
3842,1.2202396205654216,-10.251234110781986
3829,-8.127803905765091,-2.2782929514354358
3839,-7.559742484735368,-1.6955500798536614
3935,-4.639189485109411,4.110725256097681
3937,-8.716524905649006,-3.316428490888957
3938,-5.523250778294684,-2.178495538541802
3943,-5.209022809857821,-2.6318338865371373
3947,-9.496771853369646,-2.75442091348388
3962,-6.728181329850511,-6.39066602496281
3966,-1.0866428749411776,-8.676510165351022
3978,-4.224595586919818,-10.513227275132706
4003,-0.9211965572057176,-8.84086950389395
4017,-1.2080974784376635,-8.466902272150145
4049,-6.643154536157483,-1.107105191599605
4052,-6.577103433899179,-1.1008058428201575
4042,-6.534147512822198,-1.1189965562063775
4014,-1.1917650222167768,-8.540965329096794
3967,-6.239480987371915,-1.2623512521597164
4043,-6.61075465443493,-1.1457571348952469
4062,-4.269730706409354,-6.488252108463758
3993,-5.586662482444,-6.1337911043504985
3983,-6.150486332667426,-2.4184827652938115
4085,-6.570584129864112,0.6497735554648822
4125,7.0875950906734815,-3.803368745211549
4139,-4.86194551122001,-4.198961182904175
4141,-4.792656969365804,-4.332194362346115
4159,-5.02149995839332,-4.609344425033237
4128,-4.840904323568439,-4.173725570861007
4147,-4.81054070867439,-4.155719493340586
4131,-4.848109182099277,-4.212123484931443
4145,-4.849084209126645,-4.171322559026875
4146,-4.859746099403073,-4.2280348528145675
4081,-4.823681626540735,-4.27292732587982
4132,-4.855145928429128,-4.224175406429167
4164,-4.801235907493415,-4.363348951349201
4222,-4.871142701487258,-4.189953012494895
4212,-4.83831598226895,-4.179586037029876
4262,-4.815360648144648,-4.249025274834201
4136,-4.80252262715253,-4.3131764409705875
4148,-4.768467615812985,-4.3321008804400725
4197,-4.696600620297097,-4.0389236757596585
4406,-8.781616987219822,-4.969028718341173
4410,-8.580463670502226,-5.11867642992213
4600,-8.72668080887052,-4.958533641677201
4604,-8.725567018709754,-4.995890186869838
4692,0.7687426707203059,-8.526448498545532
4701,-8.651527308343207,-5.045733755086589
4702,-9.56812290182177,-5.037827695076928
4391,-8.359418824808285,-5.068182346683589
4409,-8.77442332896869,-4.980182862323726
4413,-5.14685981556202,-4.476303381986795
4443,-4.904579692882332,-4.4046401640624575
4431,-5.303122845270303,-5.011010501910395
4457,-8.647055953557349,-4.929617802928821
4583,-8.80781956266685,-4.971725492852353
4591,-8.784754583498867,-4.976842879580915
4593,-8.375040106395238,-5.018553473561828
4968,-4.719757661415137,-4.251442347426713
4896,-4.439435010500151,-4.508187247612143
4976,-4.803156847569347,-4.322649412280535
4130,-4.483583358186433,-4.604339961492027
4295,-6.682750714622102,-1.0451819476263635
4640,0.6862023861942739,-8.581749400271322
4751,0.7042105060006775,-8.47090752224953
4269,-4.964088865396713,-4.367190614273234
4595,-8.726832643489315,-4.964531791481299
4404,-4.9097882074510535,-5.233073536936807
4189,-3.8121754846463327,-4.054305445051631
5000,-4.891907363109423,-4.189314219582803
5009,-4.907059098611748,-4.245947813659195
4217,-4.819583436159601,-4.222835197572276
5359,-4.563679166730146,-4.202052875841737
4619,-5.434369651686549,-3.875927481300988
4955,-4.5368643550199605,-6.355496494464548
4945,-3.3881422367709306,-6.680443078788776
5662,-7.776000496739987,-1.2986377968131855
4485,-3.2111031857640704,-7.530504652512231
5192,-4.460898603037651,-5.362720122921376
4505,-3.772990896875276,-5.597338861420594
4775,-1.6757659419520585,-6.377329355905219
5445,-9.118185857130154,-3.6412375446447083
5441,-7.518450280623202,0.34917875916749946
5731,-4.369016670151159,-6.865802045985772
5168,-2.2857488684333416,-6.8566596705319585
5582,-5.013437244965464,-4.274118174802506
5584,-4.849014901390813,-3.1865671401242164
5537,-6.293213395057342,-2.441646965435173
5847,-6.647491752999545,-1.2753526467018044
6045,-6.610749020159268,-1.2332112502060295
6031,-9.023290699157197,0.7589042056554381
6129,-3.7611565114484207,-6.8588581458344935
5950,-3.6412729317033206,-5.798433446391351
6069,-3.0334261912328713,-7.025902404158576
6168,-5.621761857868425,-9.859196846199563
6236,-6.2973756359127755,-2.748134669783023
5317,-5.21892603730066,-5.191192253682329
6116,-8.685275840863842,-4.853385270911877
6141,-5.388157922268855,-6.8063752512386495
6754,-6.962587821953237,-5.0049868167466105
